Gender,Age,Relationship_Status,Budget,Occasion,Preference,Relationship_Length,Personal_Interest,Past_Gift_Item,Past_Gift_Reaction,Recent_Purchase_1,Recent_Purchase_2,Recent_Purchase_3,Best_Gift
Other,47,Single,Very High,Just Because,Sentimental,3-5 years,Art,Flowers,Loved it,Hat,Handbag,Earrings,Personalized Gift
Female,37,Engaged,Very High,Anniversary,Sentimental,5+ years,Art,Flowers,Loved it,Earrings,Necklace,Hat,Personalized Gift
Female,57,Single,Medium,Birthday,Romantic,6-12 months,Fashion,Fashion Accessory,Disliked it,Necklace,Hat,Handbag,Flowers
Male,24,Married,Low,Anniversary,Adventurous,<6 months,Music,Chocolates,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Fashion Accessory
Male,51,Dating,Medium,Valentine's Day,Romantic,<6 months,Technology,Flowers,Loved it,Processor Chip,Headphones,Phone Charger,Tech Gadget
Other,37,Single,High,Valentine's Day,Adventurous,6-12 months,Music,Chocolates,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Subscription Service
Male,20,Married,Very High,Anniversary,Romantic,1-3 years,Technology,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Personalized Gift
Other,48,Engaged,Very High,Just Because,Romantic,5+ years,Art,Personalized Gift,Disliked it,Hat,Handbag,Earrings,Subscription Service
Female,31,Dating,Medium,Just Because,Practical,<6 months,Music,Flowers,Disliked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Chocolates
Male,34,Single,Very High,Birthday,Surprise,6-12 months,Technology,Fashion Accessory,Loved it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Female,23,Single,Medium,Valentine's Day,Practical,6-12 months,Music,Flowers,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Chocolates
Male,52,Single,High,Just Because,Surprise,6-12 months,Music,Subscription Service,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Fashion Accessory
Other,22,Married,Very High,Valentine's Day,Practical,6-12 months,Cooking,Fashion Accessory,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Male,41,Dating,High,Just Because,Sentimental,6-12 months,Sports,Subscription Service,Loved it,Smart Speaker,Processor Chip,Headphones,Fashion Accessory
Other,26,Dating,Very High,Valentine's Day,Sentimental,5+ years,Music,Fashion Accessory,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Other,52,Married,Very High,Just Because,Romantic,3-5 years,Art,Fashion Accessory,Disliked it,Hat,Handbag,Earrings,Personalized Gift
Other,58,Married,Low,Valentine's Day,Sentimental,3-5 years,Sports,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Female,47,Dating,Medium,Just Because,Surprise,<6 months,Fashion,Chocolates,Liked it,Earrings,Necklace,Hat,Fashion Accessory
Other,28,Engaged,High,Just Because,Surprise,<6 months,Fashion,Fashion Accessory,Loved it,Necklace,Hat,Handbag,Subscription Service
Female,34,Single,High,Valentine's Day,Adventurous,3-5 years,Art,Subscription Service,Liked it,Handbag,Earrings,Necklace,Fashion Accessory
Other,42,Dating,Very High,Birthday,Adventurous,3-5 years,Cooking,Subscription Service,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Male,42,Single,High,Valentine's Day,Surprise,6-12 months,Fashion,Fashion Accessory,Liked it,Earrings,Necklace,Hat,Personalized Gift
Female,54,Engaged,Very High,Anniversary,Practical,1-3 years,Technology,Chocolates,Liked it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Male,42,Engaged,Medium,Valentine's Day,Sentimental,6-12 months,Music,Subscription Service,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Female,35,Single,Medium,Anniversary,Surprise,<6 months,Sports,Personalized Gift,Disliked it,Headphones,Phone Charger,Smart Speaker,Fashion Accessory
Other,26,Single,High,Anniversary,Sentimental,1-3 years,Cooking,Flowers,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Other,46,Engaged,Very High,Valentine's Day,Practical,<6 months,Art,Flowers,Disliked it,Hat,Handbag,Earrings,Personalized Gift
Female,23,Engaged,Low,Anniversary,Practical,5+ years,Fashion,Tech Gadget,Liked it,Hat,Handbag,Earrings,Chocolates
Male,26,Married,Low,Birthday,Romantic,3-5 years,Art,Tech Gadget,Liked it,Hat,Handbag,Earrings,Flowers
Female,58,Engaged,Very High,Anniversary,Adventurous,3-5 years,Technology,Subscription Service,Loved it,Phone Charger,Smart Speaker,Processor Chip,Personalized Gift
Female,20,Dating,Very High,Valentine's Day,Sentimental,1-3 years,Art,Subscription Service,Loved it,Handbag,Earrings,Necklace,Personalized Gift
Male,55,Single,High,Valentine's Day,Practical,3-5 years,Cooking,Subscription Service,Loved it,Streaming Sub,Meal Kit Sub,Gym Membership,Chocolates
Male,49,Dating,Medium,Valentine's Day,Adventurous,6-12 months,Music,Fashion Accessory,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Female,29,Dating,Very High,Just Because,Romantic,1-3 years,Cooking,Personalized Gift,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Female,45,Dating,Medium,Anniversary,Adventurous,6-12 months,Technology,Fashion Accessory,Loved it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Female,48,Single,Very High,Valentine's Day,Practical,<6 months,Fashion,Tech Gadget,Loved it,Earrings,Necklace,Hat,Personalized Gift
Male,49,Married,Very High,Valentine's Day,Sentimental,<6 months,Art,Tech Gadget,Loved it,Earrings,Necklace,Hat,Personalized Gift
Other,37,Single,Medium,Valentine's Day,Sentimental,<6 months,Sports,Fashion Accessory,Disliked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Female,37,Engaged,Low,Just Because,Adventurous,<6 months,Sports,Fashion Accessory,Liked it,Headphones,Phone Charger,Smart Speaker,Personalized Gift
Other,47,Single,Very High,Just Because,Sentimental,3-5 years,Art,Flowers,Loved it,Hat,Handbag,Earrings,Personalized Gift
Other,26,Married,High,Valentine's Day,Romantic,<6 months,Technology,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Other,24,Dating,High,Birthday,Practical,5+ years,Music,Tech Gadget,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Subscription Service
Male,20,Engaged,Very High,Valentine's Day,Romantic,6-12 months,Sports,Fashion Accessory,Liked it,Headphones,Phone Charger,Smart Speaker,Personalized Gift
Other,37,Engaged,Low,Valentine's Day,Surprise,5+ years,Technology,Personalized Gift,Loved it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Male,59,Married,Medium,Birthday,Adventurous,1-3 years,Music,Fashion Accessory,Liked it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Male,56,Single,Low,Just Because,Adventurous,3-5 years,Fashion,Chocolates,Disliked it,Handbag,Earrings,Necklace,Fashion Accessory
Other,54,Married,High,Valentine's Day,Adventurous,3-5 years,Art,Fashion Accessory,Loved it,Earrings,Necklace,Hat,Subscription Service
Male,41,Engaged,Very High,Birthday,Surprise,6-12 months,Music,Personalized Gift,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Subscription Service
Other,38,Engaged,Very High,Valentine's Day,Practical,1-3 years,Sports,Fashion Accessory,Loved it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Male,23,Engaged,Very High,Birthday,Adventurous,3-5 years,Sports,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Personalized Gift
Other,21,Dating,High,Just Because,Adventurous,3-5 years,Technology,Subscription Service,Liked it,Headphones,Phone Charger,Smart Speaker,Chocolates
Male,22,Engaged,Low,Birthday,Practical,<6 months,Cooking,Subscription Service,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Chocolates
Other,53,Married,Medium,Anniversary,Surprise,5+ years,Art,Subscription Service,Disliked it,Earrings,Necklace,Hat,Chocolates
Female,52,Married,Very High,Anniversary,Sentimental,<6 months,Art,Personalized Gift,Disliked it,Earrings,Necklace,Hat,Subscription Service
Female,42,Engaged,Medium,Just Because,Surprise,5+ years,Art,Chocolates,Disliked it,Necklace,Hat,Handbag,Fashion Accessory
Female,30,Single,High,Just Because,Adventurous,<6 months,Fashion,Chocolates,Liked it,Earrings,Necklace,Hat,Fashion Accessory
Female,36,Single,High,Just Because,Practical,3-5 years,Music,Chocolates,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Flowers
Male,44,Single,Medium,Birthday,Practical,1-3 years,Sports,Chocolates,Loved it,Headphones,Phone Charger,Smart Speaker,Flowers
Other,36,Engaged,Low,Anniversary,Surprise,6-12 months,Technology,Fashion Accessory,Disliked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Male,55,Engaged,Very High,Birthday,Practical,1-3 years,Cooking,Flowers,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Female,45,Dating,Low,Valentine's Day,Surprise,6-12 months,Technology,Tech Gadget,Disliked it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Male,46,Engaged,Very High,Birthday,Romantic,6-12 months,Fashion,Flowers,Loved it,Necklace,Hat,Handbag,Personalized Gift
Female,30,Dating,Medium,Birthday,Adventurous,<6 months,Art,Fashion Accessory,Disliked it,Necklace,Hat,Handbag,Personalized Gift
Other,59,Married,Low,Just Because,Practical,5+ years,Sports,Personalized Gift,Liked it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Male,45,Married,Medium,Just Because,Practical,3-5 years,Art,Subscription Service,Loved it,Earrings,Necklace,Hat,Chocolates
Other,28,Single,Low,Birthday,Practical,6-12 months,Technology,Flowers,Liked it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Female,25,Engaged,Low,Valentine's Day,Sentimental,6-12 months,Fashion,Personalized Gift,Liked it,Earrings,Necklace,Hat,Fashion Accessory
Male,20,Married,Low,Birthday,Sentimental,3-5 years,Fashion,Fashion Accessory,Liked it,Hat,Handbag,Earrings,Personalized Gift
Male,47,Married,Low,Valentine's Day,Surprise,<6 months,Fashion,Subscription Service,Disliked it,Handbag,Earrings,Necklace,Fashion Accessory
Other,44,Single,Very High,Birthday,Romantic,6-12 months,Cooking,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Other,30,Engaged,Low,Just Because,Practical,<6 months,Fashion,Tech Gadget,Liked it,Hat,Handbag,Earrings,Subscription Service
Other,22,Single,Medium,Valentine's Day,Surprise,1-3 years,Cooking,Personalized Gift,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Other,23,Engaged,Medium,Birthday,Adventurous,3-5 years,Technology,Flowers,Liked it,Processor Chip,Headphones,Phone Charger,Subscription Service
Male,33,Dating,Low,Anniversary,Adventurous,3-5 years,Sports,Personalized Gift,Disliked it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Other,54,Single,High,Valentine's Day,Sentimental,5+ years,Art,Personalized Gift,Disliked it,Handbag,Earrings,Necklace,Subscription Service
Female,44,Engaged,High,Valentine's Day,Surprise,5+ years,Art,Tech Gadget,Loved it,Earrings,Necklace,Hat,Fashion Accessory
Female,26,Engaged,Very High,Anniversary,Surprise,3-5 years,Sports,Personalized Gift,Liked it,Processor Chip,Headphones,Phone Charger,Subscription Service
Male,49,Single,Medium,Valentine's Day,Practical,6-12 months,Sports,Flowers,Liked it,Processor Chip,Headphones,Phone Charger,Chocolates
Female,46,Dating,Medium,Anniversary,Adventurous,<6 months,Music,Fashion Accessory,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Fashion Accessory
Male,48,Engaged,High,Anniversary,Practical,5+ years,Fashion,Fashion Accessory,Disliked it,Handbag,Earrings,Necklace,Chocolates
Other,43,Married,Very High,Just Because,Sentimental,1-3 years,Sports,Tech Gadget,Loved it,Phone Charger,Smart Speaker,Processor Chip,Personalized Gift
Female,22,Married,Medium,Birthday,Romantic,5+ years,Fashion,Flowers,Loved it,Necklace,Hat,Handbag,Tech Gadget
Female,50,Married,Very High,Anniversary,Sentimental,6-12 months,Technology,Tech Gadget,Disliked it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Other,35,Dating,Medium,Birthday,Practical,6-12 months,Fashion,Personalized Gift,Loved it,Handbag,Earrings,Necklace,Subscription Service
Female,27,Dating,Low,Birthday,Practical,5+ years,Sports,Flowers,Loved it,Processor Chip,Headphones,Phone Charger,Chocolates
Female,46,Engaged,Low,Just Because,Romantic,<6 months,Technology,Tech Gadget,Liked it,Processor Chip,Headphones,Phone Charger,Flowers
Male,25,Married,Very High,Anniversary,Romantic,5+ years,Fashion,Fashion Accessory,Liked it,Necklace,Hat,Handbag,Personalized Gift
Male,36,Single,Very High,Valentine's Day,Sentimental,<6 months,Music,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Other,54,Engaged,Very High,Birthday,Romantic,3-5 years,Sports,Flowers,Loved it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Other,58,Engaged,High,Valentine's Day,Surprise,<6 months,Music,Tech Gadget,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Other,45,Married,High,Valentine's Day,Practical,5+ years,Cooking,Flowers,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Other,59,Single,Very High,Valentine's Day,Surprise,1-3 years,Fashion,Subscription Service,Liked it,Necklace,Hat,Handbag,Personalized Gift
Male,41,Married,Very High,Anniversary,Romantic,6-12 months,Technology,Subscription Service,Disliked it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Other,37,Engaged,Low,Valentine's Day,Surprise,5+ years,Technology,Personalized Gift,Loved it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Other,53,Engaged,Low,Just Because,Surprise,6-12 months,Fashion,Chocolates,Liked it,Hat,Handbag,Earrings,Subscription Service
Other,28,Dating,High,Anniversary,Surprise,<6 months,Art,Chocolates,Liked it,Necklace,Hat,Handbag,Subscription Service
Other,33,Married,Low,Anniversary,Sentimental,3-5 years,Art,Subscription Service,Disliked it,Earrings,Necklace,Hat,Chocolates
Other,52,Married,High,Just Because,Adventurous,1-3 years,Fashion,Subscription Service,Loved it,Necklace,Hat,Handbag,Chocolates
Female,53,Engaged,High,Just Because,Sentimental,<6 months,Cooking,Personalized Gift,Disliked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Male,22,Dating,Low,Just Because,Surprise,5+ years,Art,Flowers,Disliked it,Hat,Handbag,Earrings,Fashion Accessory
Female,28,Single,Very High,Just Because,Adventurous,<6 months,Fashion,Personalized Gift,Disliked it,Handbag,Earrings,Necklace,Subscription Service
Other,21,Married,Medium,Birthday,Practical,1-3 years,Sports,Fashion Accessory,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Male,27,Engaged,Medium,Birthday,Practical,6-12 months,Technology,Fashion Accessory,Liked it,Processor Chip,Headphones,Phone Charger,Tech Gadget
Male,33,Engaged,Very High,Anniversary,Sentimental,1-3 years,Fashion,Subscription Service,Liked it,Hat,Handbag,Earrings,Personalized Gift
Female,57,Married,High,Anniversary,Adventurous,3-5 years,Technology,Subscription Service,Disliked it,Phone Charger,Smart Speaker,Processor Chip,Fashion Accessory
Female,56,Married,Low,Valentine's Day,Practical,6-12 months,Technology,Fashion Accessory,Loved it,Smart Speaker,Processor Chip,Headphones,Chocolates
Female,42,Dating,High,Anniversary,Romantic,1-3 years,Music,Subscription Service,Liked it,Meal Kit Sub,Gym Membership,Magazine Sub,Flowers
Male,24,Engaged,Very High,Birthday,Romantic,5+ years,Cooking,Fashion Accessory,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Male,29,Married,Medium,Just Because,Practical,6-12 months,Art,Chocolates,Loved it,Necklace,Hat,Handbag,Flowers
Female,50,Single,Very High,Just Because,Sentimental,5+ years,Technology,Chocolates,Loved it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Male,21,Married,Low,Valentine's Day,Sentimental,<6 months,Music,Flowers,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Other,31,Dating,High,Birthday,Practical,1-3 years,Music,Flowers,Liked it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Other,27,Engaged,Medium,Birthday,Surprise,<6 months,Technology,Personalized Gift,Loved it,Smart Speaker,Processor Chip,Headphones,Subscription Service
Male,51,Engaged,Medium,Just Because,Romantic,3-5 years,Art,Personalized Gift,Disliked it,Handbag,Earrings,Necklace,Flowers
Male,48,Dating,High,Birthday,Sentimental,6-12 months,Cooking,Personalized Gift,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Female,23,Married,Medium,Birthday,Surprise,<6 months,Fashion,Tech Gadget,Loved it,Earrings,Necklace,Hat,Fashion Accessory
Other,32,Married,Very High,Valentine's Day,Surprise,6-12 months,Music,Flowers,Disliked it,Streaming Sub,Meal Kit Sub,Gym Membership,Personalized Gift
Male,53,Engaged,High,Valentine's Day,Surprise,5+ years,Art,Subscription Service,Liked it,Necklace,Hat,Handbag,Fashion Accessory
Male,45,Married,Medium,Just Because,Romantic,6-12 months,Cooking,Subscription Service,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Flowers
Male,21,Single,High,Birthday,Practical,1-3 years,Art,Personalized Gift,Disliked it,Handbag,Earrings,Necklace,Chocolates
Male,24,Married,High,Just Because,Sentimental,3-5 years,Cooking,Personalized Gift,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Female,26,Engaged,Very High,Anniversary,Surprise,3-5 years,Sports,Personalized Gift,Liked it,Processor Chip,Headphones,Phone Charger,Subscription Service
Female,55,Dating,Very High,Birthday,Practical,1-3 years,Sports,Chocolates,Loved it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Male,52,Married,Very High,Birthday,Surprise,1-3 years,Art,Personalized Gift,Liked it,Hat,Handbag,Earrings,Subscription Service
Female,53,Single,Very High,Just Because,Sentimental,3-5 years,Sports,Chocolates,Loved it,Headphones,Phone Charger,Smart Speaker,Personalized Gift
Female,23,Engaged,Low,Anniversary,Practical,5+ years,Fashion,Tech Gadget,Liked it,Hat,Handbag,Earrings,Chocolates
Male,45,Single,Low,Valentine's Day,Practical,6-12 months,Sports,Chocolates,Loved it,Phone Charger,Smart Speaker,Processor Chip,Flowers
Male,48,Single,Low,Anniversary,Practical,6-12 months,Music,Tech Gadget,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Chocolates
Other,51,Married,High,Birthday,Romantic,<6 months,Sports,Subscription Service,Disliked it,Smart Speaker,Processor Chip,Headphones,Chocolates
Male,37,Married,Medium,Anniversary,Adventurous,<6 months,Cooking,Personalized Gift,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Female,56,Single,High,Birthday,Adventurous,3-5 years,Sports,Subscription Service,Liked it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Female,59,Engaged,Very High,Valentine's Day,Adventurous,6-12 months,Fashion,Subscription Service,Loved it,Hat,Handbag,Earrings,Personalized Gift
Other,29,Dating,Very High,Birthday,Adventurous,6-12 months,Art,Fashion Accessory,Loved it,Handbag,Earrings,Necklace,Personalized Gift
Other,33,Single,Medium,Birthday,Sentimental,3-5 years,Music,Chocolates,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Male,50,Dating,Very High,Anniversary,Sentimental,6-12 months,Fashion,Personalized Gift,Liked it,Handbag,Earrings,Necklace,Subscription Service
Other,53,Single,High,Just Because,Surprise,1-3 years,Music,Flowers,Disliked it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Female,59,Married,High,Just Because,Surprise,5+ years,Art,Subscription Service,Disliked it,Handbag,Earrings,Necklace,Fashion Accessory
Male,33,Single,Low,Valentine's Day,Adventurous,<6 months,Art,Personalized Gift,Loved it,Earrings,Necklace,Hat,Fashion Accessory
Female,42,Engaged,Low,Birthday,Surprise,3-5 years,Art,Fashion Accessory,Loved it,Necklace,Hat,Handbag,Personalized Gift
Male,51,Married,Low,Anniversary,Practical,3-5 years,Fashion,Tech Gadget,Liked it,Handbag,Earrings,Necklace,Chocolates
Other,27,Engaged,Medium,Valentine's Day,Romantic,5+ years,Sports,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Other,41,Dating,High,Birthday,Adventurous,6-12 months,Fashion,Tech Gadget,Disliked it,Earrings,Necklace,Hat,Subscription Service
Male,23,Engaged,Very High,Birthday,Adventurous,3-5 years,Sports,Flowers,Loved it,Phone Charger,Smart Speaker,Processor Chip,Personalized Gift
Other,49,Engaged,Medium,Just Because,Sentimental,1-3 years,Technology,Personalized Gift,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Female,27,Engaged,Medium,Just Because,Practical,5+ years,Fashion,Fashion Accessory,Liked it,Handbag,Earrings,Necklace,Chocolates
Other,50,Dating,Very High,Anniversary,Romantic,<6 months,Sports,Personalized Gift,Loved it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Male,45,Married,Medium,Just Because,Romantic,6-12 months,Cooking,Subscription Service,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Flowers
Female,50,Engaged,Low,Valentine's Day,Adventurous,<6 months,Music,Tech Gadget,Disliked it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Male,31,Engaged,High,Birthday,Sentimental,3-5 years,Cooking,Fashion Accessory,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Personalized Gift
Female,55,Dating,Very High,Birthday,Practical,1-3 years,Sports,Chocolates,Loved it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Other,30,Married,Low,Just Because,Romantic,3-5 years,Art,Fashion Accessory,Disliked it,Earrings,Necklace,Hat,Subscription Service
Female,50,Engaged,Low,Valentine's Day,Adventurous,<6 months,Music,Tech Gadget,Disliked it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Other,34,Married,Low,Birthday,Romantic,1-3 years,Sports,Tech Gadget,Disliked it,Phone Charger,Smart Speaker,Processor Chip,Subscription Service
Male,43,Single,Medium,Anniversary,Adventurous,1-3 years,Sports,Subscription Service,Disliked it,Smart Speaker,Processor Chip,Headphones,Fashion Accessory
Other,27,Married,Medium,Birthday,Adventurous,6-12 months,Music,Chocolates,Disliked it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Other,38,Single,Low,Birthday,Romantic,5+ years,Cooking,Fashion Accessory,Liked it,Streaming Sub,Meal Kit Sub,Gym Membership,Subscription Service
Other,49,Single,Medium,Just Because,Adventurous,1-3 years,Art,Subscription Service,Loved it,Hat,Handbag,Earrings,Chocolates
Male,30,Married,High,Birthday,Sentimental,3-5 years,Sports,Chocolates,Loved it,Processor Chip,Headphones,Phone Charger,Fashion Accessory
Other,49,Married,Very High,Just Because,Romantic,6-12 months,Technology,Fashion Accessory,Liked it,Smart Speaker,Processor Chip,Headphones,Personalized Gift
Female,34,Married,High,Anniversary,Sentimental,1-3 years,Music,Personalized Gift,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Fashion Accessory
Female,20,Married,High,Just Because,Surprise,<6 months,Music,Tech Gadget,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Male,50,Married,Low,Just Because,Adventurous,<6 months,Art,Chocolates,Liked it,Earrings,Necklace,Hat,Fashion Accessory
Male,32,Single,Low,Birthday,Romantic,<6 months,Cooking,Flowers,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Tech Gadget
Female,22,Married,Medium,Birthday,Romantic,5+ years,Fashion,Flowers,Loved it,Necklace,Hat,Handbag,Tech Gadget
Female,39,Married,Very High,Just Because,Romantic,<6 months,Art,Tech Gadget,Loved it,Handbag,Earrings,Necklace,Personalized Gift
Male,48,Single,Very High,Anniversary,Practical,1-3 years,Fashion,Tech Gadget,Liked it,Earrings,Necklace,Hat,Personalized Gift
Male,26,Dating,Medium,Anniversary,Romantic,6-12 months,Fashion,Tech Gadget,Loved it,Hat,Handbag,Earrings,Flowers
Male,44,Married,Low,Birthday,Sentimental,<6 months,Music,Tech Gadget,Disliked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Female,24,Dating,Very High,Anniversary,Romantic,6-12 months,Sports,Subscription Service,Liked it,Processor Chip,Headphones,Phone Charger,Personalized Gift
Male,40,Dating,Very High,Birthday,Adventurous,3-5 years,Fashion,Personalized Gift,Disliked it,Hat,Handbag,Earrings,Subscription Service
Female,37,Engaged,Very High,Anniversary,Sentimental,5+ years,Art,Flowers,Loved it,Earrings,Necklace,Hat,Personalized Gift
Male,56,Dating,Low,Birthday,Sentimental,1-3 years,Art,Tech Gadget,Disliked it,Handbag,Earrings,Necklace,Fashion Accessory
Male,32,Single,Low,Birthday,Romantic,<6 months,Cooking,Flowers,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Tech Gadget
Other,22,Engaged,Very High,Valentine's Day,Surprise,3-5 years,Cooking,Flowers,Disliked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Personalized Gift
Male,40,Engaged,Low,Anniversary,Romantic,5+ years,Sports,Personalized Gift,Loved it,Smart Speaker,Processor Chip,Headphones,Flowers
Male,32,Dating,Very High,Valentine's Day,Adventurous,<6 months,Cooking,Fashion Accessory,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Personalized Gift
Other,52,Single,Medium,Just Because,Practical,<6 months,Cooking,Subscription Service,Disliked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Chocolates
Male,31,Engaged,Very High,Valentine's Day,Sentimental,6-12 months,Technology,Flowers,Loved it,Headphones,Phone Charger,Smart Speaker,Personalized Gift
Male,59,Engaged,High,Valentine's Day,Sentimental,1-3 years,Fashion,Subscription Service,Liked it,Necklace,Hat,Handbag,Fashion Accessory
Other,44,Married,Medium,Valentine's Day,Practical,6-12 months,Cooking,Chocolates,Loved it,Gym Membership,Magazine Sub,Streaming Sub,Subscription Service
Other,39,Single,Medium,Valentine's Day,Practical,1-3 years,Technology,Fashion Accessory,Loved it,Headphones,Phone Charger,Smart Speaker,Subscription Service
Other,32,Single,High,Just Because,Adventurous,6-12 months,Music,Chocolates,Loved it,Meal Kit Sub,Gym Membership,Magazine Sub,Subscription Service
Other,54,Married,Medium,Just Because,Surprise,3-5 years,Fashion,Flowers,Liked it,Hat,Handbag,Earrings,Subscription Service
Male,22,Dating,Medium,Anniversary,Surprise,1-3 years,Cooking,Tech Gadget,Liked it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Male,36,Engaged,High,Birthday,Adventurous,6-12 months,Art,Subscription Service,Liked it,Hat,Handbag,Earrings,Fashion Accessory
Female,45,Engaged,Medium,Anniversary,Romantic,1-3 years,Fashion,Chocolates,Loved it,Necklace,Hat,Handbag,Flowers
Male,48,Dating,High,Birthday,Sentimental,6-12 months,Cooking,Personalized Gift,Loved it,Magazine Sub,Streaming Sub,Meal Kit Sub,Fashion Accessory
Other,43,Single,Low,Birthday,Romantic,3-5 years,Art,Flowers,Loved it,Earrings,Necklace,Hat,Subscription Service
Female,50,Engaged,Medium,Anniversary,Surprise,<6 months,Cooking,Subscription Service,Liked it,Gym Membership,Magazine Sub,Streaming Sub,Fashion Accessory
Other,22,Engaged,Very High,Anniversary,Sentimental,<6 months,Fashion,Flowers,Loved it,Earrings,Necklace,Hat,Personalized Gift
Female,22,Single,Medium,Anniversary,Practical,3-5 years,Music,Fashion Accessory,Disliked it,Meal Kit Sub,Gym Membership,Magazine Sub,Chocolates
Male,22,Single,Medium,Birthday,Sentimental,<6 months,Art,Fashion Accessory,Liked it,Necklace,Hat,Handbag,Personalized Gift
