Recipient_Gender,Recipient_Age,Relationship_Status,Budget,Occasion,Preference,Relationship_Length,Personal_Interest,Special_Note,Gift_Popularity,Gift_Purpose,Past_Gift_Reaction,Delivery_Method,Gift_Wrapping_Preference,Best_Gift
Other,58,Complicated,Low (<$20),Casual Valentine,Practical,6 months - 1 year,Technology,Has allergies,Rare Choice,Apology,Never Given Gift Before,Online Delivery,Minimalist,Flowers
Other,46,Married,Low (<$20),Casual Valentine,Romantic,3+ years,Sports,Tech-savvy,Very Popular,Spontaneous Surprise,Highly Appreciated,Online Delivery,Fancy Wrapping,Flowers
Other,44,Engaged,High ($100-$500),Casual Valentine,Surprise,<6 months,Reading,Handmade gifts appreciated,Rare Choice,Spontaneous Surprise,Never Given Gift Before,Courier,Eco-Friendly,Perfume
Other,46,Dating,Low (<$20),First Valentine,Sentimental,6 months - 1 year,Technology,Prefers practical gifts,Moderately Popular,Celebration,Highly Appreciated,Courier,Minimalist,Flowers
Other,40,Married,Luxury (>$500),First Valentine,Romantic,3+ years,Travel,Prefers experiences over items,Moderately Popular,Expression of Love,Highly Appreciated,Courier,No Wrapping,"Experience (Trip, Dinner, etc.)"
Other,23,Complicated,Luxury (>$500),Casual Valentine,Fun,3+ years,Sports,Has allergies,Moderately Popular,Spontaneous Surprise,Neutral,Courier,Minimalist,Personalized Gift
Non-Binary,28,Dating,Luxury (>$500),Long-Distance Valentine,Practical,3+ years,Technology,Handmade gifts appreciated,Moderately Popular,Expression of Love,Neutral,Online Delivery,No Wrapping,Tech Gadgets
Male,30,Complicated,High ($100-$500),Long-Distance Valentine,Sentimental,6 months - 1 year,Cooking,Has allergies,Very Popular,Expression of Love,Highly Appreciated,Planned Surprise,Fancy Wrapping,Perfume
Male,19,Single,Low (<$20),Anniversary Valentine,Luxury,<6 months,Fitness,Enjoys luxury items,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Minimalist,Subscription Service
Non-Binary,59,Single,Medium ($20-$100),First Valentine,Surprise,1-3 years,Cooking,Prefers practical gifts,Very Popular,Expression of Love,Disliked,In-Person,Eco-Friendly,Flowers
Other,20,Engaged,High ($100-$500),Casual Valentine,Luxury,6 months - 1 year,Art,Prefers experiences over items,Moderately Popular,Apology,Highly Appreciated,Planned Surprise,Fancy Wrapping,Chocolates
Male,30,Complicated,Luxury (>$500),Anniversary Valentine,Surprise,1-3 years,Fashion,Prefers practical gifts,Moderately Popular,Expression of Love,Neutral,Courier,No Wrapping,Subscription Service
Male,28,Dating,High ($100-$500),First Valentine,Luxury,3+ years,Cooking,Enjoys luxury items,Rare Choice,Apology,Disliked,Courier,Fancy Wrapping,Chocolates
Non-Binary,22,Engaged,High ($100-$500),First Valentine,Surprise,<6 months,Fitness,Has allergies,Moderately Popular,Celebration,Neutral,Planned Surprise,Eco-Friendly,Tech Gadgets
Male,51,Dating,Low (<$20),Long-Distance Valentine,Sentimental,3+ years,Technology,Loves surprises,Rare Choice,Spontaneous Surprise,Never Given Gift Before,Courier,Minimalist,Jewelry
Non-Binary,23,Married,High ($100-$500),Anniversary Valentine,Fun,<6 months,Sports,Enjoys luxury items,Rare Choice,Celebration,Disliked,Online Delivery,Eco-Friendly,Personalized Gift
Other,45,Single,Low (<$20),Casual Valentine,Fun,6 months - 1 year,Reading,Has allergies,Rare Choice,Expression of Love,Never Given Gift Before,Online Delivery,Fancy Wrapping,Fashion Accessories
Male,45,Complicated,Low (<$20),Anniversary Valentine,Surprise,1-3 years,Sports,Handmade gifts appreciated,Very Popular,Celebration,Neutral,Courier,Minimalist,Jewelry
Other,35,Complicated,Medium ($20-$100),Anniversary Valentine,Practical,3+ years,Cooking,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Disliked,In-Person,Fancy Wrapping,Chocolates
Male,56,Married,Luxury (>$500),Anniversary Valentine,Fun,<6 months,Cooking,Has allergies,Rare Choice,Apology,Neutral,Courier,Minimalist,Perfume
Non-Binary,18,Dating,High ($100-$500),First Valentine,Practical,6 months - 1 year,Gaming,Enjoys luxury items,Rare Choice,Apology,Never Given Gift Before,Courier,Minimalist,Personalized Gift
Other,43,Dating,High ($100-$500),First Valentine,Practical,<6 months,Music,Tech-savvy,Rare Choice,Expression of Love,Highly Appreciated,In-Person,Minimalist,Subscription Service
Non-Binary,26,Single,Medium ($20-$100),First Valentine,Sentimental,<6 months,Reading,Has allergies,Very Popular,Spontaneous Surprise,Highly Appreciated,Online Delivery,Minimalist,Subscription Service
Other,39,Engaged,Luxury (>$500),Anniversary Valentine,Fun,1-3 years,Travel,Prefers experiences over items,Moderately Popular,Celebration,Highly Appreciated,Online Delivery,Minimalist,Jewelry
Male,40,Engaged,Luxury (>$500),Long-Distance Valentine,Fun,6 months - 1 year,Reading,Prefers experiences over items,Moderately Popular,Expression of Love,Highly Appreciated,Online Delivery,No Wrapping,Tech Gadgets
Male,50,Single,Luxury (>$500),Anniversary Valentine,Fun,1-3 years,Reading,Loves surprises,Moderately Popular,Celebration,Never Given Gift Before,In-Person,Fancy Wrapping,Subscription Service
Female,35,Single,Luxury (>$500),Anniversary Valentine,Romantic,<6 months,Fashion,Has allergies,Rare Choice,Expression of Love,Highly Appreciated,In-Person,No Wrapping,Perfume
Male,26,Dating,Luxury (>$500),Long-Distance Valentine,Romantic,<6 months,Technology,Prefers experiences over items,Moderately Popular,Expression of Love,Neutral,Planned Surprise,No Wrapping,Jewelry
Non-Binary,39,Complicated,Medium ($20-$100),First Valentine,Practical,3+ years,Travel,Tech-savvy,Very Popular,Expression of Love,Neutral,Planned Surprise,No Wrapping,Chocolates
Non-Binary,29,Engaged,Low (<$20),Long-Distance Valentine,Fun,6 months - 1 year,Music,Prefers experiences over items,Very Popular,Celebration,Neutral,In-Person,No Wrapping,Chocolates
Non-Binary,52,Single,Luxury (>$500),Casual Valentine,Luxury,<6 months,Reading,Prefers experiences over items,Very Popular,Celebration,Highly Appreciated,Online Delivery,No Wrapping,Subscription Service
Male,29,Married,Medium ($20-$100),Long-Distance Valentine,Fun,<6 months,Travel,Has allergies,Very Popular,Expression of Love,Never Given Gift Before,Planned Surprise,Minimalist,Jewelry
Other,26,Dating,Luxury (>$500),First Valentine,Sentimental,3+ years,Music,Prefers practical gifts,Rare Choice,Apology,Disliked,Planned Surprise,Eco-Friendly,Subscription Service
Male,46,Complicated,Luxury (>$500),Casual Valentine,Practical,3+ years,Fitness,Prefers experiences over items,Rare Choice,Spontaneous Surprise,Disliked,Online Delivery,Eco-Friendly,Personalized Gift
Other,49,Engaged,Luxury (>$500),Long-Distance Valentine,Luxury,1-3 years,Music,Prefers practical gifts,Very Popular,Spontaneous Surprise,Neutral,In-Person,Fancy Wrapping,Tech Gadgets
Other,32,Complicated,Medium ($20-$100),First Valentine,Romantic,1-3 years,Fitness,Prefers experiences over items,Moderately Popular,Apology,Neutral,In-Person,Fancy Wrapping,Chocolates
Female,46,Engaged,High ($100-$500),Casual Valentine,Practical,1-3 years,Gaming,Enjoys luxury items,Very Popular,Spontaneous Surprise,Neutral,Online Delivery,Eco-Friendly,Fashion Accessories
Male,43,Engaged,High ($100-$500),Anniversary Valentine,Practical,1-3 years,Gaming,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Courier,No Wrapping,Fashion Accessories
Male,37,Single,Luxury (>$500),Casual Valentine,Luxury,6 months - 1 year,Sports,Prefers experiences over items,Rare Choice,Expression of Love,Disliked,Planned Surprise,No Wrapping,"Experience (Trip, Dinner, etc.)"
Other,56,Single,High ($100-$500),Long-Distance Valentine,Fun,3+ years,Reading,Has allergies,Rare Choice,Apology,Disliked,Planned Surprise,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Non-Binary,45,Married,High ($100-$500),Casual Valentine,Luxury,<6 months,Fashion,Loves surprises,Very Popular,Expression of Love,Never Given Gift Before,Planned Surprise,No Wrapping,Perfume
Female,50,Dating,Luxury (>$500),Long-Distance Valentine,Practical,1-3 years,Travel,Enjoys luxury items,Very Popular,Celebration,Disliked,Online Delivery,No Wrapping,Chocolates
Male,50,Single,Low (<$20),Long-Distance Valentine,Surprise,3+ years,Technology,Loves surprises,Very Popular,Celebration,Highly Appreciated,Online Delivery,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Non-Binary,23,Married,Luxury (>$500),First Valentine,Practical,6 months - 1 year,Music,Prefers practical gifts,Rare Choice,Expression of Love,Disliked,Courier,Fancy Wrapping,Subscription Service
Non-Binary,39,Single,High ($100-$500),Long-Distance Valentine,Surprise,3+ years,Technology,Has allergies,Moderately Popular,Spontaneous Surprise,Neutral,Planned Surprise,Minimalist,Perfume
Male,20,Single,High ($100-$500),Long-Distance Valentine,Luxury,3+ years,Travel,Prefers experiences over items,Moderately Popular,Apology,Neutral,In-Person,No Wrapping,Chocolates
Female,21,Dating,Medium ($20-$100),First Valentine,Luxury,6 months - 1 year,Gaming,Has allergies,Rare Choice,Apology,Highly Appreciated,Courier,Fancy Wrapping,Handmade Gift
Male,36,Married,Low (<$20),Casual Valentine,Fun,6 months - 1 year,Fitness,Tech-savvy,Rare Choice,Expression of Love,Highly Appreciated,In-Person,Minimalist,Subscription Service
Male,45,Single,Luxury (>$500),Casual Valentine,Fun,6 months - 1 year,Technology,Tech-savvy,Rare Choice,Spontaneous Surprise,Highly Appreciated,Online Delivery,No Wrapping,"Experience (Trip, Dinner, etc.)"
Female,46,Dating,Luxury (>$500),Long-Distance Valentine,Fun,1-3 years,Travel,Has allergies,Moderately Popular,Expression of Love,Highly Appreciated,Planned Surprise,Eco-Friendly,Tech Gadgets
Non-Binary,23,Married,Medium ($20-$100),Long-Distance Valentine,Surprise,3+ years,Fitness,Handmade gifts appreciated,Rare Choice,Spontaneous Surprise,Neutral,Courier,Minimalist,Tech Gadgets
Other,53,Engaged,High ($100-$500),Long-Distance Valentine,Luxury,6 months - 1 year,Cooking,Prefers experiences over items,Rare Choice,Apology,Disliked,Courier,Eco-Friendly,Jewelry
Non-Binary,46,Married,Luxury (>$500),Long-Distance Valentine,Surprise,3+ years,Sports,Loves surprises,Very Popular,Apology,Neutral,Online Delivery,Eco-Friendly,Chocolates
Male,27,Dating,High ($100-$500),Anniversary Valentine,Sentimental,3+ years,Travel,Tech-savvy,Rare Choice,Expression of Love,Highly Appreciated,Online Delivery,Minimalist,Fashion Accessories
Other,52,Married,High ($100-$500),First Valentine,Sentimental,6 months - 1 year,Gaming,Has allergies,Very Popular,Celebration,Highly Appreciated,Planned Surprise,Eco-Friendly,Chocolates
Male,49,Dating,High ($100-$500),First Valentine,Surprise,3+ years,Music,Prefers practical gifts,Rare Choice,Celebration,Neutral,Planned Surprise,Eco-Friendly,Flowers
Other,35,Married,Medium ($20-$100),Anniversary Valentine,Fun,1-3 years,Fashion,Handmade gifts appreciated,Moderately Popular,Apology,Never Given Gift Before,Courier,Eco-Friendly,Tech Gadgets
Female,26,Engaged,Luxury (>$500),First Valentine,Fun,1-3 years,Gaming,Enjoys luxury items,Rare Choice,Celebration,Highly Appreciated,Planned Surprise,Fancy Wrapping,Personalized Gift
Male,23,Married,Medium ($20-$100),Casual Valentine,Surprise,3+ years,Music,Prefers practical gifts,Very Popular,Celebration,Neutral,In-Person,Minimalist,"Experience (Trip, Dinner, etc.)"
Other,45,Dating,High ($100-$500),Anniversary Valentine,Practical,<6 months,Music,Handmade gifts appreciated,Very Popular,Spontaneous Surprise,Neutral,In-Person,Eco-Friendly,Tech Gadgets
Female,40,Dating,Low (<$20),Casual Valentine,Practical,6 months - 1 year,Cooking,Tech-savvy,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Minimalist,"Experience (Trip, Dinner, etc.)"
Non-Binary,18,Single,Luxury (>$500),Long-Distance Valentine,Luxury,3+ years,Fitness,Enjoys luxury items,Very Popular,Spontaneous Surprise,Highly Appreciated,Online Delivery,Fancy Wrapping,Fashion Accessories
Male,57,Engaged,Luxury (>$500),Anniversary Valentine,Luxury,6 months - 1 year,Gaming,Has allergies,Rare Choice,Expression of Love,Highly Appreciated,In-Person,Minimalist,Chocolates
Other,32,Married,High ($100-$500),Anniversary Valentine,Surprise,3+ years,Fashion,Handmade gifts appreciated,Very Popular,Celebration,Disliked,In-Person,No Wrapping,Handmade Gift
Other,33,Single,Luxury (>$500),Anniversary Valentine,Sentimental,<6 months,Sports,Loves surprises,Very Popular,Spontaneous Surprise,Highly Appreciated,Courier,Fancy Wrapping,Flowers
Male,50,Engaged,Luxury (>$500),Casual Valentine,Practical,<6 months,Art,Has allergies,Rare Choice,Apology,Highly Appreciated,In-Person,Fancy Wrapping,Fashion Accessories
Female,49,Married,High ($100-$500),Long-Distance Valentine,Luxury,1-3 years,Travel,Has allergies,Very Popular,Expression of Love,Highly Appreciated,Online Delivery,No Wrapping,"Experience (Trip, Dinner, etc.)"
Other,49,Married,Low (<$20),Long-Distance Valentine,Fun,1-3 years,Art,Has allergies,Rare Choice,Expression of Love,Disliked,In-Person,No Wrapping,Tech Gadgets
Non-Binary,53,Complicated,Luxury (>$500),First Valentine,Romantic,<6 months,Fitness,Enjoys luxury items,Very Popular,Apology,Highly Appreciated,Courier,No Wrapping,Chocolates
Non-Binary,59,Single,Medium ($20-$100),Anniversary Valentine,Sentimental,3+ years,Music,Prefers practical gifts,Very Popular,Apology,Disliked,Planned Surprise,Eco-Friendly,Perfume
Male,48,Married,Medium ($20-$100),First Valentine,Surprise,3+ years,Gaming,Prefers practical gifts,Very Popular,Celebration,Neutral,Online Delivery,Fancy Wrapping,Jewelry
Female,20,Married,Low (<$20),First Valentine,Romantic,<6 months,Art,Loves surprises,Rare Choice,Apology,Neutral,Courier,No Wrapping,Flowers
Other,37,Engaged,Low (<$20),Casual Valentine,Surprise,<6 months,Technology,Has allergies,Rare Choice,Spontaneous Surprise,Highly Appreciated,Online Delivery,Fancy Wrapping,Flowers
Female,26,Dating,Low (<$20),Casual Valentine,Romantic,3+ years,Reading,Tech-savvy,Very Popular,Apology,Neutral,Online Delivery,Fancy Wrapping,Personalized Gift
Female,32,Married,Low (<$20),First Valentine,Sentimental,6 months - 1 year,Fashion,Prefers experiences over items,Very Popular,Apology,Disliked,Courier,No Wrapping,Tech Gadgets
Other,55,Engaged,Low (<$20),First Valentine,Practical,1-3 years,Fashion,Prefers experiences over items,Rare Choice,Expression of Love,Never Given Gift Before,Planned Surprise,Fancy Wrapping,Flowers
Female,52,Dating,Low (<$20),Casual Valentine,Surprise,3+ years,Fitness,Tech-savvy,Rare Choice,Apology,Disliked,Planned Surprise,No Wrapping,Perfume
Non-Binary,40,Married,Luxury (>$500),Long-Distance Valentine,Practical,1-3 years,Sports,Enjoys luxury items,Rare Choice,Expression of Love,Never Given Gift Before,Courier,Eco-Friendly,Flowers
Male,57,Dating,Low (<$20),Long-Distance Valentine,Sentimental,3+ years,Fitness,Prefers experiences over items,Very Popular,Apology,Disliked,Courier,Minimalist,Handmade Gift
Non-Binary,51,Complicated,High ($100-$500),First Valentine,Surprise,1-3 years,Gaming,Loves surprises,Rare Choice,Celebration,Disliked,Courier,Fancy Wrapping,Tech Gadgets
Other,30,Dating,Medium ($20-$100),Long-Distance Valentine,Sentimental,6 months - 1 year,Cooking,Prefers practical gifts,Very Popular,Expression of Love,Disliked,Courier,No Wrapping,Jewelry
Male,20,Dating,Low (<$20),Long-Distance Valentine,Romantic,6 months - 1 year,Art,Handmade gifts appreciated,Rare Choice,Apology,Never Given Gift Before,Online Delivery,Fancy Wrapping,Jewelry
Other,53,Engaged,High ($100-$500),First Valentine,Luxury,1-3 years,Sports,Loves surprises,Moderately Popular,Apology,Neutral,Planned Surprise,Fancy Wrapping,Perfume
Non-Binary,22,Single,Medium ($20-$100),Casual Valentine,Surprise,<6 months,Gaming,Loves surprises,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Fancy Wrapping,Flowers
Non-Binary,37,Dating,Luxury (>$500),Casual Valentine,Fun,<6 months,Fitness,Prefers practical gifts,Moderately Popular,Apology,Highly Appreciated,Online Delivery,Minimalist,Fashion Accessories
Other,32,Dating,Luxury (>$500),Anniversary Valentine,Luxury,<6 months,Travel,Has allergies,Very Popular,Apology,Never Given Gift Before,Courier,Minimalist,Jewelry
Other,55,Engaged,Low (<$20),Anniversary Valentine,Sentimental,1-3 years,Music,Loves surprises,Rare Choice,Apology,Disliked,Courier,Minimalist,Chocolates
Non-Binary,39,Complicated,High ($100-$500),Long-Distance Valentine,Romantic,1-3 years,Art,Has allergies,Very Popular,Celebration,Highly Appreciated,Planned Surprise,Fancy Wrapping,Flowers
Other,41,Married,Luxury (>$500),Casual Valentine,Practical,1-3 years,Fitness,Has allergies,Moderately Popular,Celebration,Never Given Gift Before,Online Delivery,Eco-Friendly,Handmade Gift
Female,26,Complicated,High ($100-$500),Anniversary Valentine,Luxury,<6 months,Travel,Enjoys luxury items,Very Popular,Celebration,Never Given Gift Before,In-Person,Fancy Wrapping,Subscription Service
Male,18,Engaged,High ($100-$500),Long-Distance Valentine,Luxury,<6 months,Cooking,Prefers experiences over items,Moderately Popular,Expression of Love,Disliked,In-Person,No Wrapping,Handmade Gift
Other,53,Engaged,Luxury (>$500),Long-Distance Valentine,Sentimental,6 months - 1 year,Fashion,Enjoys luxury items,Rare Choice,Spontaneous Surprise,Highly Appreciated,In-Person,Minimalist,Chocolates
Other,22,Married,Low (<$20),First Valentine,Luxury,<6 months,Music,Handmade gifts appreciated,Rare Choice,Apology,Highly Appreciated,In-Person,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Male,41,Single,High ($100-$500),Casual Valentine,Practical,3+ years,Art,Prefers experiences over items,Rare Choice,Apology,Disliked,Courier,Fancy Wrapping,Fashion Accessories
Male,32,Single,High ($100-$500),Casual Valentine,Luxury,3+ years,Music,Loves surprises,Rare Choice,Expression of Love,Never Given Gift Before,Planned Surprise,Fancy Wrapping,Flowers
Male,34,Complicated,High ($100-$500),Long-Distance Valentine,Luxury,1-3 years,Technology,Prefers experiences over items,Very Popular,Celebration,Neutral,Courier,Minimalist,Perfume
Other,33,Engaged,Medium ($20-$100),Anniversary Valentine,Surprise,3+ years,Gaming,Has allergies,Very Popular,Spontaneous Surprise,Never Given Gift Before,Online Delivery,Fancy Wrapping,Perfume
Other,38,Dating,Low (<$20),Long-Distance Valentine,Practical,<6 months,Cooking,Enjoys luxury items,Rare Choice,Celebration,Disliked,In-Person,Fancy Wrapping,Perfume
Female,26,Engaged,High ($100-$500),First Valentine,Sentimental,<6 months,Sports,Tech-savvy,Rare Choice,Expression of Love,Highly Appreciated,Courier,No Wrapping,Subscription Service
Male,31,Married,Luxury (>$500),Long-Distance Valentine,Sentimental,6 months - 1 year,Cooking,Handmade gifts appreciated,Very Popular,Spontaneous Surprise,Never Given Gift Before,In-Person,Eco-Friendly,Personalized Gift
Non-Binary,36,Engaged,Medium ($20-$100),Long-Distance Valentine,Surprise,<6 months,Art,Enjoys luxury items,Moderately Popular,Celebration,Disliked,In-Person,Minimalist,Chocolates
Female,59,Dating,Low (<$20),First Valentine,Surprise,<6 months,Art,Handmade gifts appreciated,Rare Choice,Spontaneous Surprise,Disliked,Planned Surprise,Fancy Wrapping,Handmade Gift
Other,57,Single,High ($100-$500),Long-Distance Valentine,Luxury,6 months - 1 year,Technology,Has allergies,Rare Choice,Apology,Highly Appreciated,Online Delivery,Minimalist,Fashion Accessories
Male,36,Dating,Medium ($20-$100),Casual Valentine,Luxury,1-3 years,Technology,Prefers practical gifts,Rare Choice,Celebration,Neutral,Planned Surprise,Eco-Friendly,Chocolates
Other,24,Complicated,Medium ($20-$100),Long-Distance Valentine,Romantic,1-3 years,Reading,Handmade gifts appreciated,Very Popular,Celebration,Neutral,Courier,No Wrapping,Fashion Accessories
Non-Binary,19,Dating,Low (<$20),Anniversary Valentine,Luxury,1-3 years,Gaming,Prefers experiences over items,Very Popular,Expression of Love,Disliked,Planned Surprise,No Wrapping,Tech Gadgets
Other,21,Married,Luxury (>$500),Casual Valentine,Sentimental,1-3 years,Art,Enjoys luxury items,Rare Choice,Apology,Neutral,In-Person,Fancy Wrapping,Chocolates
Other,47,Engaged,High ($100-$500),First Valentine,Romantic,<6 months,Fashion,Enjoys luxury items,Very Popular,Celebration,Disliked,Courier,No Wrapping,Personalized Gift
Female,35,Dating,Luxury (>$500),Anniversary Valentine,Romantic,1-3 years,Sports,Tech-savvy,Rare Choice,Celebration,Highly Appreciated,Courier,Minimalist,Subscription Service
Male,52,Dating,Medium ($20-$100),First Valentine,Luxury,<6 months,Fashion,Prefers practical gifts,Very Popular,Celebration,Disliked,Planned Surprise,No Wrapping,Personalized Gift
Non-Binary,44,Married,Low (<$20),First Valentine,Romantic,3+ years,Gaming,Enjoys luxury items,Rare Choice,Celebration,Never Given Gift Before,In-Person,Eco-Friendly,Handmade Gift
Non-Binary,55,Engaged,Medium ($20-$100),Casual Valentine,Practical,3+ years,Fitness,Enjoys luxury items,Very Popular,Expression of Love,Disliked,Planned Surprise,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Female,23,Engaged,Medium ($20-$100),Long-Distance Valentine,Luxury,3+ years,Fitness,Tech-savvy,Rare Choice,Celebration,Never Given Gift Before,In-Person,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Male,55,Complicated,High ($100-$500),Long-Distance Valentine,Romantic,6 months - 1 year,Art,Tech-savvy,Very Popular,Expression of Love,Highly Appreciated,Online Delivery,Eco-Friendly,Subscription Service
Male,23,Married,Medium ($20-$100),Anniversary Valentine,Fun,3+ years,Fashion,Has allergies,Very Popular,Expression of Love,Highly Appreciated,Planned Surprise,Minimalist,Jewelry
Female,21,Married,Luxury (>$500),First Valentine,Practical,1-3 years,Sports,Enjoys luxury items,Rare Choice,Apology,Neutral,In-Person,No Wrapping,Jewelry
Female,28,Dating,Medium ($20-$100),Long-Distance Valentine,Romantic,6 months - 1 year,Reading,Has allergies,Moderately Popular,Expression of Love,Highly Appreciated,Planned Surprise,Eco-Friendly,Fashion Accessories
Non-Binary,24,Engaged,Low (<$20),First Valentine,Surprise,3+ years,Art,Enjoys luxury items,Moderately Popular,Spontaneous Surprise,Neutral,Online Delivery,Fancy Wrapping,Chocolates
Non-Binary,18,Married,Low (<$20),First Valentine,Romantic,1-3 years,Reading,Prefers experiences over items,Very Popular,Spontaneous Surprise,Highly Appreciated,Online Delivery,No Wrapping,Jewelry
Other,52,Single,Medium ($20-$100),Anniversary Valentine,Surprise,3+ years,Technology,Prefers experiences over items,Very Popular,Spontaneous Surprise,Disliked,Courier,Minimalist,Subscription Service
Non-Binary,43,Dating,Luxury (>$500),Long-Distance Valentine,Luxury,1-3 years,Sports,Loves surprises,Very Popular,Spontaneous Surprise,Neutral,In-Person,Minimalist,Tech Gadgets
Male,27,Complicated,Low (<$20),First Valentine,Practical,3+ years,Art,Prefers practical gifts,Very Popular,Apology,Neutral,In-Person,Fancy Wrapping,Handmade Gift
Female,24,Dating,Low (<$20),Long-Distance Valentine,Luxury,3+ years,Technology,Prefers experiences over items,Very Popular,Spontaneous Surprise,Highly Appreciated,Online Delivery,Eco-Friendly,Fashion Accessories
Other,49,Complicated,Low (<$20),Anniversary Valentine,Practical,3+ years,Sports,Loves surprises,Rare Choice,Spontaneous Surprise,Neutral,Courier,No Wrapping,Jewelry
Other,42,Engaged,Luxury (>$500),First Valentine,Luxury,3+ years,Gaming,Loves surprises,Very Popular,Expression of Love,Never Given Gift Before,Planned Surprise,Eco-Friendly,Jewelry
Non-Binary,40,Complicated,Luxury (>$500),Anniversary Valentine,Luxury,6 months - 1 year,Fashion,Loves surprises,Rare Choice,Celebration,Neutral,In-Person,Minimalist,Jewelry
Female,26,Engaged,High ($100-$500),First Valentine,Surprise,1-3 years,Sports,Handmade gifts appreciated,Very Popular,Celebration,Never Given Gift Before,Online Delivery,Eco-Friendly,Subscription Service
Non-Binary,23,Married,Medium ($20-$100),Casual Valentine,Practical,1-3 years,Technology,Enjoys luxury items,Very Popular,Expression of Love,Disliked,In-Person,Fancy Wrapping,Perfume
Non-Binary,39,Complicated,High ($100-$500),Long-Distance Valentine,Surprise,1-3 years,Fashion,Tech-savvy,Rare Choice,Celebration,Neutral,In-Person,Minimalist,Flowers
Non-Binary,58,Single,Medium ($20-$100),Long-Distance Valentine,Luxury,6 months - 1 year,Sports,Handmade gifts appreciated,Very Popular,Apology,Never Given Gift Before,Online Delivery,Fancy Wrapping,Flowers
Non-Binary,29,Engaged,Medium ($20-$100),Long-Distance Valentine,Sentimental,3+ years,Music,Prefers practical gifts,Very Popular,Apology,Highly Appreciated,Courier,Minimalist,Handmade Gift
Female,22,Married,Luxury (>$500),First Valentine,Surprise,6 months - 1 year,Travel,Enjoys luxury items,Very Popular,Expression of Love,Neutral,Courier,Eco-Friendly,Chocolates
Female,35,Engaged,Luxury (>$500),First Valentine,Romantic,3+ years,Cooking,Has allergies,Very Popular,Celebration,Highly Appreciated,Planned Surprise,Eco-Friendly,Jewelry
Other,26,Complicated,Low (<$20),Long-Distance Valentine,Sentimental,1-3 years,Music,Prefers experiences over items,Rare Choice,Apology,Highly Appreciated,Online Delivery,Minimalist,Jewelry
Other,52,Married,Low (<$20),Long-Distance Valentine,Surprise,1-3 years,Sports,Enjoys luxury items,Rare Choice,Apology,Neutral,In-Person,Minimalist,Handmade Gift
Female,59,Complicated,Low (<$20),Casual Valentine,Fun,3+ years,Cooking,Tech-savvy,Very Popular,Apology,Highly Appreciated,In-Person,Minimalist,Handmade Gift
Non-Binary,34,Complicated,Luxury (>$500),First Valentine,Surprise,3+ years,Sports,Enjoys luxury items,Moderately Popular,Expression of Love,Highly Appreciated,Planned Surprise,Minimalist,Chocolates
Other,27,Dating,High ($100-$500),First Valentine,Practical,6 months - 1 year,Sports,Enjoys luxury items,Rare Choice,Celebration,Never Given Gift Before,Online Delivery,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Other,29,Single,Medium ($20-$100),Casual Valentine,Surprise,1-3 years,Reading,Has allergies,Very Popular,Celebration,Never Given Gift Before,Courier,No Wrapping,Jewelry
Other,53,Married,Low (<$20),Casual Valentine,Sentimental,3+ years,Cooking,Prefers practical gifts,Very Popular,Spontaneous Surprise,Highly Appreciated,Courier,No Wrapping,Jewelry
Other,42,Dating,Luxury (>$500),First Valentine,Sentimental,6 months - 1 year,Sports,Tech-savvy,Rare Choice,Celebration,Highly Appreciated,In-Person,Minimalist,"Experience (Trip, Dinner, etc.)"
Other,58,Complicated,Low (<$20),Anniversary Valentine,Fun,6 months - 1 year,Music,Prefers practical gifts,Moderately Popular,Apology,Highly Appreciated,Courier,No Wrapping,Flowers
Female,55,Dating,Low (<$20),First Valentine,Fun,<6 months,Travel,Loves surprises,Very Popular,Expression of Love,Disliked,Planned Surprise,Fancy Wrapping,Flowers
Other,31,Engaged,Luxury (>$500),Casual Valentine,Sentimental,6 months - 1 year,Sports,Loves surprises,Rare Choice,Apology,Highly Appreciated,Online Delivery,No Wrapping,Subscription Service
Non-Binary,59,Dating,Low (<$20),Anniversary Valentine,Fun,1-3 years,Reading,Prefers practical gifts,Moderately Popular,Celebration,Highly Appreciated,Planned Surprise,Fancy Wrapping,Fashion Accessories
Male,56,Single,High ($100-$500),Casual Valentine,Luxury,6 months - 1 year,Travel,Loves surprises,Moderately Popular,Expression of Love,Never Given Gift Before,Planned Surprise,No Wrapping,Subscription Service
Non-Binary,53,Engaged,Luxury (>$500),First Valentine,Sentimental,<6 months,Art,Tech-savvy,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Online Delivery,Minimalist,Tech Gadgets
Other,30,Complicated,High ($100-$500),First Valentine,Luxury,3+ years,Reading,Tech-savvy,Rare Choice,Spontaneous Surprise,Neutral,Planned Surprise,Minimalist,Handmade Gift
